epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2418.54,0.72712,0.3969,0.91614,0.96196,0.94127,0.96751,0.73738,0.91409,0.45174,0.91747,0.000371313,0.000371313,0.000371313
43,2474.39,0.72218,0.39137,0.91453,0.95968,0.94091,0.9629,0.74008,0.90101,0.45276,0.91296,0.000365125,0.000365125,0.000365125
44,2532.44,0.70258,0.3824,0.91123,0.96157,0.94523,0.96808,0.74225,0.90194,0.44458,0.91552,0.000358938,0.000358938,0.000358938
45,2587.86,0.72738,0.39413,0.91912,0.96859,0.93925,0.96669,0.73938,0.89022,0.45352,0.91249,0.00035275,0.00035275,0.00035275
46,2649.19,0.7005,0.38332,0.91431,0.96344,0.94269,0.9683,0.74448,0.90511,0.4483,0.9152,0.000346563,0.000346563,0.000346563
47,2707.47,0.69924,0.38386,0.90896,0.96641,0.93925,0.96672,0.74862,0.87891,0.4382,0.91013,0.000340375,0.000340375,0.000340375
48,2765.3,0.69293,0.37007,0.91167,0.95917,0.9382,0.96619,0.73913,0.90887,0.44242,0.91638,0.000334188,0.000334188,0.000334188
49,2823.32,0.69472,0.3747,0.90847,0.96485,0.93736,0.96713,0.74563,0.89292,0.44123,0.91384,0.000328,0.000328,0.000328
50,2882.35,0.68419,0.37137,0.90449,0.96344,0.94403,0.96663,0.74509,0.89544,0.44163,0.91353,0.000321812,0.000321812,0.000321812
51,2940.05,0.68395,0.3644,0.90535,0.96342,0.93688,0.97135,0.75558,0.87529,0.44171,0.91208,0.000315625,0.000315625,0.000315625
52,2996.23,0.67338,0.36167,0.90134,0.96808,0.94307,0.96886,0.74592,0.89308,0.43576,0.9152,0.000309437,0.000309437,0.000309437
53,3051.82,0.67399,0.36019,0.90768,0.96706,0.92996,0.9678,0.74938,0.89165,0.42982,0.91435,0.00030325,0.00030325,0.00030325
54,3108.1,0.66343,0.35805,0.90178,0.95903,0.94124,0.96889,0.75129,0.87907,0.43172,0.90944,0.000297063,0.000297063,0.000297063
55,3164.56,0.67275,0.36132,0.89898,0.95866,0.94594,0.96718,0.75015,0.87725,0.43305,0.91321,0.000290875,0.000290875,0.000290875
56,3220.41,0.65243,0.35052,0.89259,0.96557,0.94268,0.96823,0.75095,0.88687,0.4443,0.9111,0.000284688,0.000284688,0.000284688
57,3275.7,0.64968,0.35195,0.8958,0.95102,0.9488,0.97017,0.75678,0.8695,0.42337,0.90541,0.0002785,0.0002785,0.0002785
58,3332.32,0.6487,0.35078,0.88936,0.96315,0.94268,0.96577,0.76095,0.86424,0.42976,0.90613,0.000272313,0.000272313,0.000272313
59,3388.77,0.63886,0.34794,0.89298,0.95897,0.95484,0.96829,0.75466,0.88638,0.42258,0.91147,0.000266125,0.000266125,0.000266125
60,3444.44,0.64883,0.34871,0.89397,0.9565,0.94816,0.96846,0.75201,0.88646,0.42338,0.91307,0.000259938,0.000259938,0.000259938
61,3498.56,0.63707,0.3399,0.88938,0.96674,0.94005,0.96843,0.76144,0.88144,0.42142,0.90929,0.00025375,0.00025375,0.00025375
62,3553.44,0.63086,0.34041,0.88829,0.9594,0.94451,0.96824,0.75893,0.86038,0.418,0.91004,0.000247563,0.000247563,0.000247563
63,3608.64,0.62253,0.33729,0.89036,0.9709,0.93764,0.97597,0.75416,0.88274,0.41584,0.90972,0.000241375,0.000241375,0.000241375
64,3672.12,0.61241,0.33306,0.88511,0.9646,0.94716,0.96874,0.75523,0.8689,0.41988,0.91345,0.000235188,0.000235188,0.000235188
65,3726.99,0.61508,0.33087,0.88269,0.96998,0.94107,0.96859,0.75676,0.87265,0.42005,0.91388,0.000229,0.000229,0.000229
66,3782.55,0.62479,0.33661,0.88486,0.96155,0.95,0.97604,0.75545,0.86536,0.41207,0.90776,0.000222813,0.000222813,0.000222813
67,3838.83,0.60875,0.32421,0.88337,0.9626,0.94598,0.96776,0.75878,0.86515,0.40804,0.91063,0.000216625,0.000216625,0.000216625
68,3899.77,0.60337,0.32535,0.88012,0.95836,0.94609,0.96777,0.75736,0.86841,0.41631,0.91337,0.000210437,0.000210437,0.000210437
69,3954.32,0.59445,0.31929,0.87384,0.96138,0.9534,0.97087,0.76287,0.86707,0.41161,0.91044,0.00020425,0.00020425,0.00020425
