                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83294,                 0.5477,                0.91624,                0.94842,                 0.8731,                0.94756,                0.69457,                0.95391,                0.57239,                0.87357,             0.00040844,             0.00040844,             0.00040844
                     37,                0.83909,                0.55091,                 0.9196,                0.93309,                0.89651,                0.94671,                0.69274,                0.95611,                0.57898,                 0.8724,             0.00040225,             0.00040225,             0.00040225
                     38,                0.84371,                0.54306,                0.92003,                0.94894,                0.89705,                0.95204,                0.70037,                0.94191,                0.55262,                0.87258,             0.00039606,             0.00039606,             0.00039606
                     39,                0.84253,                0.54502,                0.91757,                 0.9358,                0.90694,                0.95127,                0.70743,                0.95214,                0.56889,                 0.8685,             0.00038988,             0.00038988,             0.00038988
                     40,                0.83291,                0.53281,                0.91015,                0.93666,                0.89843,                0.94857,                0.70829,                0.92962,                0.56024,                0.86462,             0.00038369,             0.00038369,             0.00038369
                     41,                0.80468,                0.52262,                0.90153,                0.93951,                0.89998,                 0.9472,                0.70796,                0.92563,                0.55629,                0.86331,              0.0003775,              0.0003775,              0.0003775
                     42,                0.82028,                0.51971,                0.91066,                0.94062,                0.90164,                 0.9478,                0.70783,                0.91722,                0.55151,                0.86462,             0.00037131,             0.00037131,             0.00037131
                     43,                0.81883,                0.52148,                0.90985,                 0.9252,                0.89722,                0.94212,                0.70373,                0.95582,                0.56452,                0.87079,             0.00036513,             0.00036513,             0.00036513
                     44,                 0.8174,                0.52345,                0.90821,                0.93434,                0.90671,                0.95377,                0.71308,                0.91957,                0.54626,                0.86391,             0.00035894,             0.00035894,             0.00035894
                     45,                0.82233,                0.52629,                0.90873,                0.93012,                0.90216,                0.94574,                0.71603,                 0.9058,                0.53372,                0.86324,             0.00035275,             0.00035275,             0.00035275
